mountain,topic,continent,country,location,img_url
Baden-Powell,2, North America,United States,California,https://sp-images.summitpost.org/79112.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=3c8b02f89210337ca5986333877c8464
Bald Mountain,1, North America,United States,Colorado,https://sp-images.summitpost.org/27189.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=8d26f7820ed5b80245f43c59bfcdc263
Baldy Mountain (NM),2, North America,United States,New Mexico,https://sp-images.summitpost.org/547220.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=71afb1124e9b0cff57f5af3609e37548
Banner Peak,1, North America,United States,California,https://sp-images.summitpost.org/13662.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=77661a9410a505427255585ae72be3f0
Baring Mountain,0, North America,United States,Washington,https://sp-images.summitpost.org/765377.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=d2a01f96eeddc0a9eb6db8f836b15af2
Barre des Ecrins,1, Europe,France,Dauphiné,https://sp-images.summitpost.org/27852.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=161b3cb61329c50b71820032139c74fd
Basin Mountain,2, North America,United States,New York,https://sp-images.summitpost.org/25666.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=8b5d1f86f789701b045fa6f553669ac0
Bear Creek Spire,0, North America,United States,California,https://sp-images.summitpost.org/63578.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=66dc8ea0c8ecacd838f7314a41eb1e96
Bear Mountain,2, North America,United States,Connecticut,https://sp-images.summitpost.org/139887.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=f68f5bb499509b22891dbb87159782e8
Bear Mountain,2, North America,United States,New York,https://sp-images.summitpost.org/183080.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=e0c85868e38d505995168ef07070b52a
Bear Peak,2, North America,United States,Colorado,https://sp-images.summitpost.org/82997.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=00ff76c9fc16ab2d94086da4b543a9cd
Bearfence Mountain,1, North America,United States,Virginia,https://sp-images.summitpost.org/81838.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=bac40f07582c948043fa4017df75ad73
Ben Lomond,2, North America,United States,Utah,https://sp-images.summitpost.org/393145.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=ac173eca78b0df4d978dac515245bdf1
Ben Nevis,1, Europe,Scotland,Lochaber,https://sp-images.summitpost.org/185733.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=8f29bf13dc84a57c0ee1c48d9af990fe
Bergen Peak,2, North America,United States,Colorado,https://sp-images.summitpost.org/400676.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=2956e9df2c4f3374b38306fe47468b9a
Big Slide Mountain,2, North America,United States,New York,https://sp-images.summitpost.org/72729.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=6674a444311095560ee9c99897274116
Bigelow Mountain,2, North America,United States,Maine,https://sp-images.summitpost.org/118309.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=bb24984aa1764c0fae8df11ef09a7bc0
Bionnassay (Aiguille de),1, Europe,France/Italy,Massif du Mont Blanc,https://sp-images.summitpost.org/12146.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=444f1a4a7d1aa69da18c92c73915c735
Bishorn,1, Europe,Switzerland,Corona Imperiale/Wallis,https://sp-images.summitpost.org/238212.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=ebe64e0a8fe39c64d7d33f6365ac13a8
Bison Peak,0, North America,United States,Colorado,https://sp-images.summitpost.org/32085.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=55042f9f5ee7cb03289100ebfc598b43
Black Balsam Knob,2, North America,United States,North Carolina,https://sp-images.summitpost.org/96541.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=831441cba16a5b06ff04f969bd60a157
Black Butte (CA),2, North America,United States,California,https://sp-images.summitpost.org/95027.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=502d48d19ff162cb5a9dee059f642550
Black Butte (Oregon),2, North America,United States,Oregon,https://sp-images.summitpost.org/84405.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=94129c28e85c087b24e9b4efc8a1e65f
Black Elk Peak / Harney Peak,2, North America,United States,South Dakota,https://sp-images.summitpost.org/1026600.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=b77e349a5efbc4547116c3e7342096e7
Black Mesa,2, North America,United States,Oklahoma,https://sp-images.summitpost.org/370289.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=00173c66d6c73ff1b83e870e57fb384b
Black Mountain,2, North America,United States,New York,https://sp-images.summitpost.org/31766.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=08e3749e95c84a20c3e6f6442c08c328
Black Mountain (KY),2, North America,United States,Kentucky,https://sp-images.summitpost.org/79578.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1efeebcbe8a73ec4ea9b96d4b4bd486a
Black Peak,0, North America,United States,Washington,https://sp-images.summitpost.org/17143.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=75719516d8d50085201b28d9d795c03e
Blanca Peak,0, North America,United States,Colorado,https://sp-images.summitpost.org/487945.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=88548cfbcd82b629593253143c26f7aa
Blodgett Peak,0, North America,United States,Colorado,https://sp-images.summitpost.org/76411.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=6b47140ac54b5183bc07e5519f50a99b
Blood Mountain,2, North America,United States,Georgia,https://sp-images.summitpost.org/426168.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=ecf69e704b74b2d7bd64ac8f66809115
Blue Mountain,2, North America,United States,New York,https://sp-images.summitpost.org/202652.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=0485397231597318eb00ad84f6d9ccad
Bobotov Kuk,1, Europe,Montenegro,Zabljak county,https://sp-images.summitpost.org/66642.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=e77b1c573da8cd6cb48cea7735387d98
Bomber Mountain,2, North America,United States,Wyoming,https://sp-images.summitpost.org/126374.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=d4c94b86570e4e5c2df32419509a5b59
Bonanza Peak,0, North America,United States,Washington,https://sp-images.summitpost.org/768549.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1899a65384ae34168fd04fbc64d4014d
Borah Peak,1, North America,United States,Idaho,https://sp-images.summitpost.org/209027.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=64b0a988300364136d2a5f30f5308841
Boundary Peak (Nevada),2, North America,United States,Nevada,https://sp-images.summitpost.org/8319.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=4869a8ae4dbf700863b789e626027bb8
Box Elder Peak,0, North America,United States,Utah,https://sp-images.summitpost.org/471003.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=5b25ea21d1e5730ce1d1fc2387ff9009
"Brandon, Mount",2, Europe,Ireland,County Kerry,https://sp-images.summitpost.org/25882.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=b4dc8d1e28535358f8a96c02143bb785
Brasstown Bald,2, North America,United States,Georgia,https://sp-images.summitpost.org/95727.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=94cec4b5737e41c8a21f9eee9aeb6b8c
Breakneck Ridge,2, North America,United States,New York,https://sp-images.summitpost.org/287052.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=6f53bc3bf638ef5bd045e4b74e168267
Breithorn,1, Europe,Italy/Switzerland,Valle d'Aosta/Wallis,https://sp-images.summitpost.org/11612.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=aa80c38f1ede1e45aa5af45fb1872309
Bridge Mountain,0, North America,United States,Nevada,https://sp-images.summitpost.org/134174.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=6791b16b13376c4da37a4b499a4b4860
Britton Hill,2, North America,United States,Florida,https://sp-images.summitpost.org/196888.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=cc625f96038fc0fbb9c05cdd42142f75
Broad Peak,1, Asia,China/Pakistan,Xinjiang/Baltistan,https://sp-images.summitpost.org/122189.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=e575b7f8eb9cb98be8be5a638dc80302
Broads Fork Twin Peaks,0, North America,United States,Utah,https://sp-images.summitpost.org/54332.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=2be60883b3590ccbf1adcd8eceb699f3
Broken Top,0, North America,United States,Oregon,https://sp-images.summitpost.org/1006435.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=6108ddcf267aa058a8c9f3c1830f65e6
Brokeoff Mountain,2, North America,United States,California,https://sp-images.summitpost.org/529730.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=b04beefc69131302dc49fe645cf7c43e
Browns Peak/Four Peaks,0, North America,United States,Arizona,https://sp-images.summitpost.org/137060.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=6dd293f84f2c3753c233549b15bbf235
Buck Mountain,0, North America,United States,New York,https://sp-images.summitpost.org/70774.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=d822fc12c222b14f0608a27d949c1d8b
Buck Mountain,0, North America,United States,Wyoming,https://sp-images.summitpost.org/96499.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=618362c7d2e5ad90e657d2ae042b2e67
Buckner Mountain,0, North America,United States,Washington,https://sp-images.summitpost.org/637336.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=a7d6053c7c0851eda39b2b08c75a5df9
Buet (Mont),1, Europe,France,Haute Savoie (Haut-Giffre),https://sp-images.summitpost.org/20609.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=38fe6d8fcf2d6e8d44279898859f85fc
Buffalo Mountain,1, North America,United States,Colorado,https://sp-images.summitpost.org/71439.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=f668fd9de1d9eeac4fba20dc1a50b71d
Bugaboo Spire,0, North America,Canada,British Columbia,https://sp-images.summitpost.org/78150.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=d17ff396d44e5f233900241203e1695d
Bukit Timah,2, Asia,Singapore,,https://sp-images.summitpost.org/12089.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=7d33a26debb3e343e579b36b7d531e96
Byers Peak,2, North America,United States,Colorado,https://sp-images.summitpost.org/521250.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=939e7cf460150519409a30cf652396d7
Cabezon Peak,1, North America,United States,New Mexico,https://sp-images.summitpost.org/611199.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=49d12405aa17c85c665a921f64f614c7
Camel's Hump,2, North America,United States,Vermont,https://sp-images.summitpost.org/23308.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=e5d83f6ce4a2839dc8308800ebd827ef
Camelback Mountain,2, North America,United States,Arizona,https://sp-images.summitpost.org/79216.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=5c53d77a87dcd1d54578846a28e9625a
Campanile Basso di Brenta,0, Europe,Italy,Trento,https://sp-images.summitpost.org/61537.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=3a1dfa4496330290c28a934951eea0c7
Campbell Hill,2, North America,United States,Ohio,https://sp-images.summitpost.org/106635.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=73348a779841141c7de194ed2ad9a84b
Cannon Mountain (NH),2, North America,United States,New Hampshire,https://sp-images.summitpost.org/78646.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=7a62660a2d526c77e616905e2a0fad6d
Cannon Mountain (WA),0, North America,United States,Washington,https://sp-images.summitpost.org/19822.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=3ffc22504b3b82dcf661774b14cda0ea
Capitol Peak,0, North America,United States,Colorado,https://sp-images.summitpost.org/592109.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=fa38e24f4ee8f03dd85a1376c20bf2cc
Carrauntoohil,1, Europe,Ireland,Munster,https://sp-images.summitpost.org/302858.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1e4607e4b366b35d0ceb7ee3571a84b7
Cascade Mountain,2, North America,United States,New York,https://sp-images.summitpost.org/92837.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=0e38f041733344207c4b267916849a6c
Cascade Mountain,2, North America,United States,Utah,https://sp-images.summitpost.org/407646.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=cb0d5caf056a56c48d5df630c4ce97a2
Cashmere Mountain,0, North America,United States,Washington,https://sp-images.summitpost.org/812313.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=d5db00245996c2047f03317973509551
Castle Peak,1, North America,United States,California,https://sp-images.summitpost.org/367258.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=d66b8f4575c0e67e15165db8b496bcdc
Castle Peak,1, North America,United States,Colorado,https://sp-images.summitpost.org/676889.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1462699a5027872a899eae923258154e
Castleton Tower,0, North America,United States,Utah,https://sp-images.summitpost.org/46478.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=720937487a90ff1d3fc84c8c581984f8
Castore/Castor,1, Europe,Italy/Switzerland,Alpi Pennine/Aosta/Valais,https://sp-images.summitpost.org/442869.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1c1ae9629391de78575a1c84f8103d13
Cathedral Ledge,0, North America,United States,New Hampshire,https://sp-images.summitpost.org/65869.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1579d1adbea9e1ebbc34dcfd6fb7450c
Cathedral Peak,0, North America,United States,California,https://sp-images.summitpost.org/23277.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=cf0c2c4dbafcecb07f715e5ecfe48c72
Cathedral Rocks/Spires,0, North America,United States,California,https://sp-images.summitpost.org/47898.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=50cfddf15c3b23e3a6bc6a582efe45e5
Cayambe,1, South America,Ecuador,,https://sp-images.summitpost.org/311976.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=84be8b6c034cd5564413101212f52ce4
Cerro Chirripó,2, North America,Costa Rica,Cordillera Talamanca,https://sp-images.summitpost.org/429143.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=fd2cd1aabffcecae663cdaaadda9da2a
Cerro Plata,1, South America,Argentina,Mendoza,https://sp-images.summitpost.org/104235.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=c50b7ea0a72cbec8d19ddc4f08158c67
Chachani,0, South America,Peru,Arequipa,https://sp-images.summitpost.org/986094.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=ac8803ea96150736ff8314be7e22b518
Chair Peak,0, North America,United States,Washington,https://sp-images.summitpost.org/783706.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=dd80880969775038bf100151e312481a
Challenger Point,0, North America,United States,Colorado,https://sp-images.summitpost.org/43478.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=a1cd99f351ff79783ed5c885bebe3e5b
Chardonnet (Aiguille du),1, Europe,France,Haute Savoie,https://sp-images.summitpost.org/63046.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=548384c7f8fdfa1cee54d8952b86fac7
Charles Mound,2, North America,United States,Illinois,https://sp-images.summitpost.org/65707.jpe?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=a24e52111d8af18b14c4806b7c6b64ac
Charleston Peak,2, North America,United States,Nevada,https://sp-images.summitpost.org/293292.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=aa64c7b3b81b1d315e94255bbdcecf8a
Cheaha Mountain,2, North America,United States,Alabama,https://sp-images.summitpost.org/44269.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=e7a8b9b9e37d1839077f4e78c0194159
Cheyenne Mountain,2, North America,United States,Colorado,https://sp-images.summitpost.org/127048.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=80152aced4e54e88609ccb6125692ebe
Chickies Rock,2, North America,United States,Pennsylvania,https://sp-images.summitpost.org/129077.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=6369219ee4621e4b25559ab206589162
Chief Mountain,0, North America,United States,Colorado,https://sp-images.summitpost.org/95267.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=71924606e7e9361692b8c4684e20d47d
Chief Mountain (MT),1, North America,United States,Montana,https://sp-images.summitpost.org/989014.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=fa7c459b88b88e706a5d6cb4a97050a0
Chiefs Head Peak,0, North America,United States,Colorado,https://sp-images.summitpost.org/67550.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=c4560f85eb36f6ef3d34d7e3ddcc65e7
Chimborazo,1, South America,Ecuador,Chimborazo,https://sp-images.summitpost.org/262850.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=e29efcac3ee7d967c589adb05972785d
Chimney Mt.,0, North America,United States,New York,https://sp-images.summitpost.org/197334.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=8ffbfc07e92a219917f350211a768786
Chimney Rock,0, North America,United States,Idaho,https://sp-images.summitpost.org/25648.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=a41da9a4b08edb948ddc8678c9895f08
Chinaman’s Peak (Ha Ling Peak),0, North America,Canada,Alberta,https://sp-images.summitpost.org/68805.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=fd930e11af79298f5dab9d196cfa4a7b
Cho Oyu,1, Asia,China/Nepal,,https://sp-images.summitpost.org/37119.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=b26ddab294b65776f30bb6c84aa150d6
Chopicalqui,1, South America,Peru,,https://sp-images.summitpost.org/96502.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=89467c4676cbfa33db2a1c8e24b5b9be
Cirque Peak,0, North America,United States,California,https://sp-images.summitpost.org/55372.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=ecbfd496f31085fa748e7d0b4e950e3f
Clark Mountain,0, North America,United States,California,https://sp-images.summitpost.org/104647.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=ca7f96768da5b17d85b8e419e4c0b6f7
Clark Peak,0, North America,United States,Colorado,https://sp-images.summitpost.org/26698.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=bf9c264c626184db4f5c39e03f0a3b42
